Area ID,Area Name,Battle Type,Doll ID,Type,Name,Level,MOD,Link,Max HP,Crit.Rate,Crit.Damage,Armor Pen.,Damage,Accuracy,Evasion,Rate of Fire,Armor,Rounds,Recovery,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Score Prediction (1-Fairy),Score Prediction (2-Fairy),Score Prediction (3-Fairy),Score Prediction (4-Fairy),Rank
914,Ele.4,Day,20115,SMG,Suomi Mod,115,3,5,1125,25%,150%,15,28,42,121,94,0,0,35,100,0,10,10,T Exo (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),Supp (Silencer) (5-Star),7174,538,645,753,860,11
914,Ele.4,Day,96,HG,Grizzly,100,0,5,430,50%,150%,8,55,74,100,54,0,0,25,100,0,9,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),3907,537,644,752,859,12
914,Ele.4,Day,356,AR,A-545,100,0,5,550,20%,100%,15,101,70,52,103,0,0,8,95,0,6,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5980,523,627,732,837,13
914,Ele.4,Day,20007,HG,Stechkin Mod,102,1,5,415,20%,150%,15,27,72,113,65,0,0,22,100,0,10,0,SF Taclight (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),T Exo (Body) (5-Star),3700,508,610,712,814,14
914,Ele.4,Day,4,HG,Python,100,0,5,350,60%,150%,11,45,86,132,49,0,0,17,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (4-Star),T Exo (Body) (5-Star),3649,501,602,702,802,15
914,Ele.4,Day,375,HG,Colt Walker,100,0,5,300,40%,150%,11,47,63,148,57,0,0,16,98,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (4-Star),X Exo (Body) (5-Star),3611,496,595,695,794,16
914,Ele.4,Day,20212,HG,K5 Mod,106,1,5,370,60%,150%,11,40,57,120,62,0,0,20,100,0,6,0,Supp (Silencer) (5-Star),HP (Ammo) (4-Star),X Exo (Body) (5-Star),3541,486,584,681,779,17
914,Ele.4,Day,250,HG,HS2000,94,0,5,350,40%,150%,11,43,76,107,60,0,0,20,100,0,10,0,RMR (Acc) (4-Star),HP (Ammo) (4-Star),X Exo (Body) (5-Star),3491,480,576,672,768,18
914,Ele.4,Day,378,AR,SCAR-L,100,0,5,550,20%,100%,15,89,81,55,93,0,0,8,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (4-Star),5450,476,572,667,763,19
914,Ele.4,Day,260,HG,PA-15,94,0,5,340,40%,150%,11,45,80,96,63,0,0,18,100,0,10,0,RMR (Acc) (4-Star),HP (Ammo) (4-Star),X Exo (Body) (5-Star),3463,476,571,666,761,20
914,Ele.4,Day,27,SMG,Skorpion,100,0,5,795,5%,100%,11,45,44,88,110,0,0,22,100,0,8,0,Processor Chip (Body) (4-Star),HP (Ammo) (4-Star),Red Dot (Acc) (5-Star),5051,454,545,636,727,21
914,Ele.4,Day,54,AR,M16A1,100,0,5,605,20%,100%,15,80,49,45,91,11,0,9,100,0,4,0,HV (Ammo) (5-Star),Plate (Body) (5-Star),Processor Chip (Body) (4-Star),5102,446,535,624,714,22
914,Ele.4,Day,294,HG,Webley,90,0,5,410,34%,150%,11,38,63,98,55,0,0,23,99,0,5,0,Supp (Silencer) (4-Star),HP (Ammo) (4-Star),X Exo (Body) (4-Star),3162,434,521,608,695,23
914,Ele.4,Day,194,AR,K2,93,0,5,610,68%,180%,15,81,51,42,67,0,0,9,94,0,7,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Focus Chip (Body) (5-Star),4947,432,519,606,692,24
914,Ele.4,Day,20143,SMG,RO635 Mod,110,1,5,1025,19%,150%,15,26,16,108,96,0,0,29,100,0,10,0,T Exo (Body) (4-Star),Flare (Ammo) (5-Star),Supp (Silencer) (4-Star),5647,423,508,592,677,25
914,Ele.4,Day,233,HG,Px4 Storm,90,0,5,320,34%,150%,15,28,63,114,54,0,0,19,87,0,10,0,Supp (Silencer) (4-Star),Flare (Ammo) (5-Star),T Exo (Body) (4-Star),3063,421,505,589,673,26
914,Ele.4,Day,303,HG,HP-35,90,0,5,365,34%,150%,13,31,61,115,56,0,0,19,92,0,4,0,Supp (Silencer) (4-Star),HP (Ammo) (3-Star),T Exo (Body) (4-Star),2978,409,491,573,655,27
914,Ele.4,Day,354,HG,ZiP .22,94,0,5,320,40%,150%,13,32,55,108,61,0,0,17,90,0,10,0,RMR (Acc) (4-Star),HP (Ammo) (3-Star),T Exo (Body) (4-Star),2969,408,489,571,653,28
914,Ele.4,Day,20101,SMG,UMP9 Mod,100,1,5,880,25%,150%,15,45,25,106,84,0,0,28,100,0,7,0,T Exo (Body) (4-Star),Sp. Eq (Exclusive) (5-Star),EOT (Holographic) (4-Star),5327,399,479,559,639,29
914,Ele.4,Day,379,HG,P10C,90,0,5,340,34%,150%,13,29,49,101,63,0,0,18,100,0,10,0,Supp (Silencer) (4-Star),HP (Ammo) (3-Star),T Exo (Body) (4-Star),2881,396,475,554,633,30
914,Ele.4,Day,62,AR,Gr G41,100,0,5,635,68%,180%,15,72,48,40,67,0,0,10,65,0,3,0,Optical (Acc) (5-Star),HV (Ammo) (4-Star),Focus Chip (Body) (5-Star),4465,390,468,546,625,31
914,Ele.4,Day,16,SMG,Thompson,95,0,5,1160,19%,150%,15,28,13,86,81,0,0,35,100,0,10,0,T Exo (Body) (4-Star),-,Supp (Silencer) (4-Star),5161,387,464,541,619,32
914,Ele.4,Day,20,SMG,Vector,100,0,5,925,5%,100%,15,46,19,75,114,0,0,25,100,0,10,0,Processor Chip (Body) (4-Star),-,EOT (Holographic) (4-Star),4849,363,436,509,581,33
914,Ele.4,Day,20046,RF,Kar98k Mod,100,1,5,435,88%,195%,195,150,90,44,35,0,0,10,100,0,10,0,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),7205,360,432,504,576,34
914,Ele.4,Day,5,HG,M1895,94,0,5,340,34%,150%,15,28,44,110,44,0,0,18,64,0,1,0,Supp (Silencer) (4-Star),-,T Exo (Body) (3-Star),2388,328,394,459,525,35
914,Ele.4,Day,48,RF,WA2000,100,0,5,440,72%,168%,195,137,87,32,39,0,0,10,100,0,10,0,AP (Ammo) (5-Star),Optical (Acc) (4-Star),Cape (Body) (4-Star),6167,308,370,431,493,36
914,Ele.4,Day,382,AR,MSBS,90,0,5,525,52%,150%,15,59,46,43,69,0,0,8,72,0,6,0,Optical (Acc) (4-Star),HV (Ammo) (4-Star),-,3513,307,368,430,491,37
914,Ele.4,Day,292,MG,RPK-16,100,0,5,825,37%,150%,515,90,39,36,124,0,15,9,100,0,10,0,SLAP (Ammo) (5-Star),Optical (Acc) (4-Star),MG Box (Body) (5-Star),12001,300,360,420,480,38
914,Ele.4,Day,377,RF,SCAR-H,100,0,5,425,72%,168%,165,120,98,31,41,0,0,9,100,0,10,0,AP (Ammo) (4-Star),Optical (Acc) (4-Star),Cape (Body) (4-Star),5813,290,348,406,465,39
914,Ele.4,Day,198,RF,Carcano M91/38,100,0,5,365,72%,168%,165,154,95,47,34,0,0,8,100,0,10,0,AP (Ammo) (4-Star),Optical (Acc) (4-Star),Cape (Body) (4-Star),5798,289,347,405,463,40
914,Ele.4,Day,323,SG,LTLX7000,100,0,5,1375,40%,172%,15,40,23,10,28,36,8,49,100,0,10,0,Plate (Body) (5-Star),Buck (Shell) (5-Star),Choke (Acc) (4-Star),7695,288,346,403,461,41
914,Ele.4,Day,43,RF,SVD,100,0,5,400,72%,168%,195,141,84,35,37,0,0,9,100,0,4,0,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (4-Star),Cape (Body) (4-Star),5722,286,343,400,457,42
914,Ele.4,Day,197,RF,Carcano M1891,100,0,5,400,72%,168%,165,145,90,45,34,0,0,9,100,0,10,0,AP (Ammo) (4-Star),Optical (Acc) (4-Star),Cape (Body) (4-Star),5629,281,337,394,450,43
914,Ele.4,Day,316,RF,General Liu,90,0,5,380,72%,168%,165,136,84,29,38,0,0,8,90,0,7,0,AP (Ammo) (4-Star),Optical (Acc) (4-Star),Cape (Body) (4-Star),5529,276,331,387,442,44
914,Ele.4,Day,281,SG,CAWS,100,0,5,1235,72%,150%,15,32,33,12,35,34,5,49,100,0,7,0,Plate (Body) (5-Star),Slug (Shell) (5-Star),Optical (Acc) (4-Star),7104,266,319,372,426,45
914,Ele.4,Day,112,MG,Negev,100,0,5,870,37%,150%,415,89,37,36,134,0,14,9,100,0,10,0,SLAP (Ammo) (4-Star),Optical (Acc) (4-Star),MG Box (Body) (5-Star),10448,261,313,365,417,46
914,Ele.4,Day,173,MG,PKP,100,0,5,825,37%,150%,415,100,33,30,122,0,13,9,100,0,10,0,SLAP (Ammo) (4-Star),Optical (Acc) (4-Star),MG Box (Body) (4-Star),9815,245,294,343,392,47
914,Ele.4,Day,339,MG,RPK-203,100,0,5,825,29%,150%,415,96,36,37,119,0,12,9,100,0,10,0,SLAP (Ammo) (4-Star),Optical (Acc) (3-Star),MG Box (Body) (4-Star),9477,236,284,331,379,48
914,Ele.4,Day,1,HG,SAA,78,0,4,284,34%,150%,15,31,39,68,44,0,0,19,60,0,1,0,Supp (Silencer) (4-Star),-,-,1660,228,273,319,365,49
914,Ele.4,Day,352,SG,Nova,95,0,5,1290,40%,150%,15,32,34,15,28,25,7,46,94,0,6,0,Plate (Body) (4-Star),Flash (Shell) (5-Star),PEQ (Acc) (3-Star),5929,222,266,311,355,50
914,Ele.4,Day,168,HG,Spitfire,70,0,4,236,34%,150%,15,27,45,59,54,0,0,16,86,0,2,0,Supp (Silencer) (4-Star),-,-,1545,212,254,297,339,51
914,Ele.4,Day,153,SG,M37,96,0,5,1240,40%,150%,15,35,26,11,26,28,4,44,100,0,2,0,Plate (Body) (4-Star),Slug (Shell) (4-Star),PEQ (Acc) (3-Star),5544,207,249,291,332,52
914,Ele.4,Day,166,HG,CZ75,66,0,3,165,50%,150%,15,32,64,52,59,0,0,16,70,0,2,0,Sp. Eq (Exclusive) (5-Star),-,-,1308,179,215,251,287,53
914,Ele.4,Day,109,MG,Gr MG5,100,0,5,990,5%,150%,165,90,39,29,120,0,11,10,100,0,10,0,AP (Ammo) (4-Star),-,MG Bipod (Body) (5-Star),6482,162,194,226,259,54
914,Ele.4,Day,142,HG,Five-seven,52,0,3,144,40%,150%,11,31,48,56,56,0,0,13,63,0,4,0,RMR (Acc) (4-Star),HP (Ammo) (4-Star),-,1176,161,194,226,258,55
914,Ele.4,Day,285,HG,C-93,51,0,3,144,40%,150%,11,32,51,56,54,0,0,14,74,0,1,0,RMR (Acc) (4-Star),HP (Ammo) (4-Star),-,1127,154,185,216,247,56
914,Ele.4,Day,276,MG,Kord,91,0,5,945,5%,150%,165,109,29,20,107,0,9,10,100,0,8,0,AP (Ammo) (4-Star),-,MG Bipod (Body) (4-Star),5541,138,166,193,221,57
914,Ele.4,Day,53,RF,NTW-20,70,0,4,316,40%,150%,165,132,55,22,27,0,0,9,87,0,7,0,AP (Ammo) (4-Star),-,-,2700,135,162,189,216,58
914,Ele.4,Day,175,AR,ART556,64,0,3,285,20%,150%,15,52,36,34,60,0,0,7,86,0,2,0,PEQ (Acc) (4-Star),HV (Ammo) (4-Star),-,1492,130,156,182,208,59
914,Ele.4,Day,77,MG,M2HB,92,0,5,1030,5%,150%,165,102,18,15,98,0,13,10,100,0,5,0,AP (Ammo) (4-Star),-,MG Box (Body) (4-Star),5042,126,151,176,201,60
914,Ele.4,Day,215,AR,MDR,52,0,3,270,52%,150%,15,51,29,24,64,0,0,7,51,0,1,0,Optical (Acc) (4-Star),HV (Ammo) (4-Star),-,1441,126,151,176,201,61
914,Ele.4,Day,171,AR,Ribeyrolles,60,0,3,264,20%,150%,15,59,28,26,54,0,0,7,66,0,6,0,PEQ (Acc) (4-Star),HV (Ammo) (4-Star),-,1396,122,146,171,195,62
914,Ele.4,Day,39,RF,Mosin-Nagant,70,0,4,300,40%,150%,135,115,63,28,27,0,0,8,50,0,2,0,SNIP (Ammo) (5-Star),-,-,2387,119,143,167,190,63
914,Ele.4,Day,36,RF,Springfield,70,0,4,284,40%,150%,135,113,53,30,29,0,0,8,57,0,1,0,SNIP (Ammo) (5-Star),-,-,2367,118,142,165,189,64
914,Ele.4,Day,26,SMG,Gr MP5,52,0,3,381,5%,150%,11,25,8,62,77,0,0,18,63,0,1,0,T Exo (Body) (4-Star),HP (Ammo) (4-Star),-,1448,108,130,152,173,65
914,Ele.4,Day,346,HG,CZ100,36,0,3,150,20%,150%,15,18,24,36,47,0,0,13,52,0,1,0,PEQ (Acc) (3-Star),-,-,743,102,122,143,163,66
914,Ele.4,Day,104,SMG,Gr G36c,38,0,3,417,5%,150%,15,17,6,47,69,0,0,21,61,0,2,0,T Exo (Body) (3-Star),-,-,1327,99,119,139,159,67
914,Ele.4,Day,228,SMG,100 Shiki,36,0,3,429,5%,150%,15,15,7,46,61,0,0,24,53,0,1,0,T Exo (Body) (3-Star),-,-,1322,99,118,138,158,68
914,Ele.4,Day,338,AR,SIG MCX,40,0,3,243,44%,150%,15,30,27,22,66,0,0,6,50,0,1,0,Optical (Acc) (3-Star),-,-,1085,94,113,132,151,69
914,Ele.4,Day,37,RF,M14,63,0,3,204,40%,150%,135,93,49,19,39,0,0,8,74,0,1,0,SNIP (Ammo) (5-Star),-,-,1857,92,111,129,148,70
914,Ele.4,Day,329,RF,SVCh,50,0,3,195,72%,150%,165,96,54,17,29,0,0,7,51,0,2,0,AP (Ammo) (4-Star),Optical (Acc) (4-Star),-,1806,90,108,126,144,71
914,Ele.4,Day,272,HG,Desert Eagle,39,0,2,102,40%,150%,15,25,27,30,44,0,0,13,57,0,10,0,PEQ (Acc) (3-Star),-,-,655,90,108,126,144,72
914,Ele.4,Day,56,AR,M4 SOPMOD II,35,0,3,222,44%,150%,15,30,22,20,63,0,0,6,63,0,3,0,Optical (Acc) (3-Star),-,-,1006,88,105,123,140,73
914,Ele.4,Day,75,MG,M1918,55,0,3,366,25%,150%,415,68,34,20,92,0,8,6,64,0,1,0,SLAP (Ammo) (4-Star),RMR (Acc) (4-Star),-,3458,86,103,121,138,74
914,Ele.4,Day,160,SG,Saiga-12,63,0,3,645,40%,164%,15,32,9,7,32,22,5,39,61,0,1,0,Plate (Body) (4-Star),Buck (Shell) (4-Star),-,2256,84,101,118,135,75
914,Ele.4,Day,50,RF,Lee Enfield,61,0,3,192,40%,150%,127,100,51,26,31,0,0,7,62,0,2,0,AP (Ammo) (3-Star),-,-,1691,84,101,118,135,76
914,Ele.4,Day,129,AR,Type95,30,0,3,225,44%,150%,15,31,21,18,55,0,0,6,55,0,1,0,Optical (Acc) (3-Star),-,-,924,80,97,113,129,77
914,Ele.4,Day,287,AR,SIG-556,30,0,3,237,44%,150%,15,29,18,18,59,0,0,6,55,0,1,0,Optical (Acc) (3-Star),-,-,917,80,96,112,128,78
914,Ele.4,Day,380,SMG,APC9K,30,0,3,342,5%,150%,15,12,6,43,77,0,0,16,50,0,1,0,T Exo (Body) (3-Star),-,-,1070,80,96,112,128,79
914,Ele.4,Day,85,MG,PK,70,0,4,644,5%,150%,127,78,16,17,76,0,11,8,55,0,6,0,AP (Ammo) (3-Star),-,-,2911,72,87,101,116,80
914,Ele.4,Day,95,RF,Type88,52,0,3,231,72%,150%,165,75,35,22,26,0,0,9,55,0,1,0,AP (Ammo) (4-Star),Optical (Acc) (4-Star),-,1430,71,85,100,114,81
914,Ele.4,Day,135,SMG,SR-3MP,40,0,2,270,5%,150%,15,17,6,49,75,0,0,19,51,0,3,0,T Exo (Body) (3-Star),-,-,896,67,80,94,107,82
914,Ele.4,Day,127,SMG,Type79,40,0,2,270,5%,150%,15,18,6,50,73,0,0,19,50,0,1,0,T Exo (Body) (3-Star),-,-,880,66,79,92,105,83
914,Ele.4,Day,381,RF,M110,40,0,3,177,40%,150%,127,83,33,15,29,0,0,7,50,0,2,0,AP (Ammo) (3-Star),-,-,1291,64,77,90,103,84
914,Ele.4,Day,257,RF,M200,30,0,3,171,40%,150%,127,78,36,12,26,0,0,7,50,0,1,0,AP (Ammo) (3-Star),-,-,1166,58,69,81,93,85
914,Ele.4,Day,236,AR,K11,30,0,2,174,44%,150%,15,29,21,15,58,0,0,7,52,0,1,0,Optical (Acc) (3-Star),-,-,635,55,66,77,88,86
914,Ele.4,Day,350,SG,FO-12,40,0,3,534,40%,150%,15,20,7,6,30,11,5,32,50,0,3,0,-,-,-,1415,53,63,74,84,87
914,Ele.4,Day,376,SMG,Erma,12,0,2,294,5%,150%,15,12,4,15,62,0,0,20,50,0,1,0,-,-,-,611,45,54,64,73,88
914,Ele.4,Day,214,AR,ADS,23,0,2,148,20%,150%,15,24,17,14,57,0,0,6,50,0,1,0,-,-,-,521,45,54,63,72,89
914,Ele.4,Day,348,RF,HS.50,40,0,2,124,40%,150%,127,96,40,14,27,0,0,7,50,0,1,0,AP (Ammo) (3-Star),-,-,908,45,54,63,72,90
914,Ele.4,Day,290,AR,89 Shiki,16,0,2,140,20%,150%,15,26,13,12,58,0,0,6,50,0,1,0,-,-,-,492,43,51,60,68,91
914,Ele.4,Day,347,SMG,SR2,11,0,2,230,5%,150%,15,14,4,15,67,0,0,16,50,0,4,0,-,-,-,568,42,51,59,68,92
914,Ele.4,Day,106,AR,FAL,16,0,2,152,20%,150%,15,27,12,10,53,0,0,6,50,0,1,0,-,-,-,483,42,50,59,67,93
914,Ele.4,Day,130,AR,Type97,11,0,2,128,20%,150%,15,23,11,10,51,0,0,5,50,0,2,0,-,-,-,441,38,46,54,61,94
914,Ele.4,Day,365,AR,SCR,11,0,2,122,20%,150%,15,21,11,11,54,0,0,5,50,0,1,0,-,-,-,422,36,44,51,59,95
914,Ele.4,Day,248,HG,Jericho,16,0,1,44,20%,150%,15,15,14,18,45,0,0,12,50,0,1,0,-,-,-,190,26,31,36,41,96
914,Ele.4,Day,126,HG,NZ75,4,0,1,38,20%,150%,15,13,10,11,43,0,0,11,52,0,1,0,-,-,-,165,22,27,31,36,97
914,Ele.4,Day,128,RF,M99,11,0,2,98,40%,150%,15,63,17,7,23,0,0,6,50,0,1,0,-,-,-,445,22,26,31,35,98
914,Ele.4,Day,370,HG,P290,5,0,1,38,20%,150%,15,11,10,14,42,0,0,10,51,0,1,0,-,-,-,160,22,26,30,35,99
914,Ele.4,Day,14,HG,Astra,1,0,1,40,20%,150%,15,12,6,9,35,0,0,11,86,0,1,0,-,-,-,146,20,24,28,32,100
914,Ele.4,Day,139,HG,Bren Ten,1,0,1,35,20%,150%,15,12,7,9,40,0,0,9,50,0,1,0,-,-,-,139,19,22,26,30,101
914,Ele.4,Day,90,HG,FF FNP9,1,0,1,30,20%,150%,15,11,7,11,42,0,0,8,50,0,1,0,-,-,-,134,18,22,25,29,102
914,Ele.4,Day,9,HG,P38,1,0,1,33,20%,150%,15,10,6,10,38,0,0,9,50,0,1,0,-,-,-,132,18,21,25,29,103
914,Ele.4,Day,137,SMG,PP-19-01,1,0,1,97,5%,150%,15,11,2,10,60,0,0,14,55,0,1,0,-,-,-,212,15,19,22,25,104
914,Ele.4,Day,243,AR,64 Shiki,1,0,1,63,20%,150%,15,22,7,5,40,0,0,5,50,0,1,0,-,-,-,182,15,19,22,25,105
914,Ele.4,Day,313,AR,S-ACR,1,0,1,62,20%,150%,15,16,6,5,61,0,0,5,50,0,1,0,-,-,-,183,16,19,22,25,106
914,Ele.4,Day,263,MG,Gr MG36,17,0,2,212,5%,150%,15,38,9,10,91,0,10,6,50,0,1,0,-,-,-,640,16,19,22,25,107
914,Ele.4,Day,315,SMG,AUG Para,1,0,1,93,5%,150%,15,11,2,11,60,0,0,13,50,0,1,0,-,-,-,213,15,19,22,25,108
914,Ele.4,Day,306,AR,AK-Alfa,1,0,1,58,20%,150%,15,19,6,6,49,0,0,5,53,0,1,0,-,-,-,178,15,18,21,24,109
914,Ele.4,Day,344,AR,FARA 83,1,0,1,55,20%,150%,15,17,7,6,52,0,0,4,50,0,1,0,-,-,-,173,15,18,21,24,110
914,Ele.4,Day,31,SMG,M38,1,0,1,102,5%,150%,15,12,2,7,52,0,0,14,50,0,1,0,-,-,-,202,15,18,21,24,111
914,Ele.4,Day,172,AR,Am RFB,1,0,1,53,30%,150%,15,22,7,5,34,0,0,4,50,0,1,0,-,-,-,168,14,17,20,23,112
914,Ele.4,Day,25,SMG,MP40,1,0,1,93,5%,150%,15,11,2,8,52,0,0,13,50,0,1,0,-,-,-,193,14,17,20,23,113
914,Ele.4,Day,94,SMG,Type64,1,0,1,88,5%,150%,15,11,2,9,65,0,0,12,50,0,1,0,-,-,-,192,14,17,20,23,114
914,Ele.4,Day,24,SMG,PP-2000,1,0,1,80,5%,150%,15,12,2,11,57,0,0,11,50,0,1,0,-,-,-,185,13,16,19,22,115
914,Ele.4,Day,74,AR,SIG-510,1,0,1,58,20%,150%,15,20,5,5,39,0,0,5,50,0,1,0,-,-,-,158,13,16,19,22,116
914,Ele.4,Day,107,AR,FF F2000,1,0,1,53,20%,150%,15,16,6,6,57,0,0,4,50,0,1,0,-,-,-,162,14,17,19,22,117
914,Ele.4,Day,324,SG,M6 ASW,1,0,1,130,40%,150%,15,14,2,2,19,3,4,24,50,0,1,0,-,-,-,259,9,11,13,15,118
914,Ele.4,Day,163,SG,AA-12,1,0,1,135,40%,150%,15,12,2,2,27,3,5,24,50,0,1,0,-,-,-,266,9,11,13,15,119
914,Ele.4,Day,312,RF,VSK-94,1,0,1,44,40%,150%,15,45,9,4,25,0,0,5,50,0,1,0,-,-,-,176,8,10,12,14,120
914,Ele.4,Day,261,RF,QBU-88,1,0,1,42,40%,150%,15,42,10,5,27,0,0,5,50,0,1,0,-,-,-,180,9,10,12,14,121
914,Ele.4,Day,337,RF,De Lisle,1,0,1,51,40%,150%,15,37,10,5,24,0,0,6,50,0,1,0,-,-,-,179,8,10,12,14,122
914,Ele.4,Day,296,RF,Gr SL8,1,0,1,43,40%,150%,15,41,9,5,27,0,0,5,50,0,2,0,-,-,-,182,9,10,12,14,123
914,Ele.4,Day,368,SG,UTS-15,1,0,1,116,40%,150%,15,14,2,2,18,3,5,21,50,0,1,0,-,-,-,238,8,10,12,14,124
914,Ele.4,Day,307,MG,ZB-26,1,0,1,91,5%,150%,15,34,4,4,76,0,9,5,50,0,1,0,-,-,-,236,5,7,8,9,125
914,Ele.4,Day,238,MG,QJY-88,1,0,1,83,5%,150%,15,29,4,4,83,0,10,5,50,0,1,0,-,-,-,227,5,6,7,9,126
914,Ele.4,Day,125,MG,Gr MG4,4,0,1,94,5%,150%,15,30,5,5,92,0,9,5,50,0,1,0,-,-,-,246,6,7,8,9,127
918,Ele.8,Day,20055,AR,M4A1 Mod,116,3,5,565,68%,150%,15,98,58,58,100,15,0,9,200,1,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),8334,1145,1375,1604,1833,1
918,Ele.8,Day,20122,AR,Gr G11 Mod,115,3,5,620,68%,175%,15,90,60,47,97,0,0,10,100,0,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7389,1015,1219,1422,1625,2
918,Ele.8,Day,20065,AR,416 Mod,116,3,5,620,45%,160%,15,110,68,70,79,0,0,10,100,0,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),7353,1011,1213,1415,1617,3
918,Ele.8,Day,20057,AR,ST AR-15 Mod,115,3,5,535,75%,180%,15,104,70,57,73,0,0,9,172,1,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),7052,969,1163,1357,1551,4
918,Ele.8,Day,20293,AR,AK-15 Mod,111,2,5,590,20%,100%,15,101,86,56,102,0,0,9,100,0,10,10,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6699,921,1105,1289,1473,5
918,Ele.8,Day,20205,AR,AN-94 Mod,110,1,5,585,20%,100%,15,105,87,52,101,0,0,9,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6521,896,1075,1255,1434,6
918,Ele.8,Day,292,MG,RPK-16,100,0,5,825,35%,150%,515,90,59,36,124,0,15,9,100,0,10,0,SLAP (Ammo) (5-Star),RMR (Acc) (5-Star),MG Box (Body) (5-Star),13296,831,997,1163,1329,7
918,Ele.8,Day,378,AR,SCAR-L,100,0,5,550,20%,100%,15,94,81,55,102,0,0,8,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5978,821,986,1150,1315,8
